crc32,archive,local_off,size,ntex,sample_dims_fmt
0x360295CB,0A,0x5B4A4800,1958945,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0x36465FE3,0A,0x58FD6800,1915713,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0x373DB9B1,0A,0x54ADC000,2040996,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0x3A19A5C4,0B,0x16E99800,2080038,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0x3EBEC4A1,0A,0x6248D800,2079242,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0x4080B04F,0B,0x10907800,2187330,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0x4222DB4B,0B,0x18569000,1866050,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0x45978E64,0A,0x57E19800,2518618,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0x46067B53,0A,0x62C6E800,2172059,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0x4701B825,0A,0x55731800,1987439,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0x4754CC9F,0B,0x164AF800,2092343,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0x495D1F5C,0B,0x1215A000,2339610,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0x4A63B010,0A,0x5B861800,1981509,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0x4AE64591,0A,0x5828B000,2139553,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0x4BB7AC82,0B,0xAE53000,2146954,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0x4EC0221C,0A,0x5BDF9000,1896538,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0x50E0E2C4,0B,0x844A000,1905893,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0x53CF3F0B,0A,0x5C39F800,1920650,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0x5708E0E3,0A,0x564EB800,2166209,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0x576CAD07,0A,0x5C930800,1993044,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0x599CE992,0B,0x1076D800,1678556,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0x59FB2D54,0B,0x10B1E000,1934951,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0x5D7D8525,0A,0x5AA91000,2027669,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0x5E47DC82,0B,0xC800000,1658890,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0x619BF206,0B,0xB82D000,2147993,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0x61C05CC8,0B,0x17DED000,2019570,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0x624CFC5B,0A,0x386C2800,2350930,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0x649A6548,0A,0x595F0000,2160059,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0x65612E70,0A,0x63B2D000,2042503,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0x680F10E2,0A,0x5A678000,2266557,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0x688857F5,0A,0x53426000,1991639,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0x69CEFEA2,0B,0xE7B3000,1923199,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0x6C16D3DC,0B,0x14AC9000,2028526,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0x6CC32958,0A,0x56F76800,2274996,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0x6E1E0D37,0B,0x11D52000,2112632,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0x6E5BC56D,0B,0x9190800,2089746,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0x6E978A8E,0A,0x5D9F2800,1966011,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0x6F48EF49,0B,0x861B800,2050621,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0x6F4F73E0,0B,0x1368E800,1814987,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
