team,category,iff,archive,offset,size,resolved,label,crc32
uniforms,Creation Zone Logo,disc_2be043bc.iff,0A,0x6ACBA800,0x9D1CE,1,"Custom Jersey Decal (recolorable, no logo)",0x2BE043BC
dal,Team-Select Jersey Decal,disc_2c5361c4.iff,0A,0x64F80800,0xBD4C6,1,Anaheim Jersey Decal (Home or Away),0x2C5361C4
tor,Team-Select Jersey Decal,disc_2c536d79.iff,0B,0x73CC000,0xE7664,1,Toronto Jersey Decal (Home or Away),0x2C536D79
bos,Team-Select Jersey Decal,disc_2cd6798b.iff,0B,0x12D0800,0xB91C1,1,Germany Jersey Decal (Home or Away),0x2CD6798B
uniforms,Team-Select Jersey Decal,disc_2d1ac496.iff,0A,0x64E7E000,0x10250A,1,2K All-Stars Jersey Decal,0x2D1AC496
uniforms,uniform_components,disc_2d7da4ac.iff,0A,0x6458D000,0x211122,1,Uniform component - 2048x512 DXN,0x2D7DA4AC
custom,uniform_customizable,disc_2d885e09.iff,0B,0x7C39800,0xC5E9C,1,Customizable-team jersey template (RGB tint),0x2D885E09
custom,uniform_customizable,disc_2db92a93.iff,0B,0x6E0E800,0xDEEDA,1,Customizable-team jersey template (RGB tint),0x2DB92A93
uniforms,uniform,disc_2e3ac58d.iff,0A,0x68A08000,0x88169,1,Team-Select Jersey Decals - unidentified (browse preview to identify team),0x2E3AC58D
uniforms,uniform_components,disc_2f09c6dc.iff,0B,0xCB93800,0x1C4FD2,1,Uniform component - 2048x512 DXN,0x2F09C6DC
uniforms,Creation Zone Logo,disc_2f43d1b0.iff,0A,0x6AEA5800,0xAFDE3,1,"Custom Jersey Decal (recolorable, no logo)",0x2F43D1B0
custom,uniform_customizable,disc_2f74ea21.iff,0B,0x6228800,0x11AFA8,1,Customizable-team jersey template (RGB tint),0x2F74EA21
uniforms,uniform,disc_2fd29e1f.iff,0B,0x5282000,0x8FD74,1,Team-Select Jersey Decals - unidentified (browse preview to identify team),0x2FD29E1F
custom,uniform_customizable,disc_2fef96fb.iff,0B,0x5C80800,0xF9665,1,Customizable-team jersey template (RGB tint),0x2FEF96FB
uniforms,Creation Zone Logo,disc_303f107a.iff,0A,0x69943800,0xA489F,1,"Custom Jersey Decal (recolorable, no logo)",0x303F107A
uniforms,Creation Zone Logo,disc_324ccca7.iff,0A,0x6A71B800,0xB3383,1,"Custom Jersey Decal (recolorable, no logo)",0x324CCCA7
cbj,Team-Select Jersey Decal,disc_3292966b.iff,0A,0x67326000,0xE8868,1,Columbus Jersey Decal (Home or Away),0x3292966B
uniforms,uniform_components,disc_32a107c7.iff,0A,0x5B2BD000,0x1E75E7,1,Uniform component - 2048x512 DXN,0x32A107C7
uniforms,uniform,disc_331bb721.iff,0A,0x66E26000,0x890D4,1,Team-Select Jersey Decals - unidentified (browse preview to identify team),0x331BB721
uniforms,uniform_components,disc_33580390.iff,0B,0xE989000,0x21669E,1,Uniform component - 2048x512 DXN,0x33580390
uniforms,Creation Zone Logo,disc_349c8276.iff,0A,0x699E8800,0x9E816,1,"Custom Jersey Decal (recolorable, no logo)",0x349C8276
uniforms,uniform_components,disc_34c0d263.iff,0B,0x938F000,0x1ED897,1,Uniform component - 2048x512 DXN,0x34C0D263
fla,Team-Select Jersey Decal,disc_34c6ebc2.iff,0A,0x662BB800,0xE4830,1,Buffalo Jersey Decal (Home or Away),0x34C6EBC2
uniforms,uniform_components,disc_360295cb.iff,0A,0x5B4A4800,0x1DE421,1,Uniform component - 2048x512 DXN,0x360295CB
van,uniform,disc_3620cafc.iff,0B,0x78AA000,0xE6C0C,1,Team-Select Jersey Decals - VAN_AWAY,0x3620CAFC
col,Team-Select Jersey Decal,disc_36260425.iff,0B,0x16E1000,0x103E2B,1,Los Angeles Jersey Decal (Home or Away),0x36260425
uniforms,uniform_components,disc_36465fe3.iff,0A,0x58FD6800,0x1D3B41,1,Uniform component - 2048x512 DXN,0x36465FE3
custom,uniform_customizable,disc_36ef5eab.iff,0A,0x6A937000,0xB42C7,1,Customizable-team jersey template (RGB tint),0x36EF5EAB
uniforms,uniform_components,disc_373db9b1.iff,0A,0x54ADC000,0x1F24A4,1,Uniform component - 2048x512 DXN,0x373DB9B1
tbl,Team-Select Jersey Decal,disc_39a39c64.iff,0B,0x610000,0x10CF4B,1,Edmonton Away/Alt Jersey Decal,0x39A39C64
wsh,Team-Select Jersey Decal,disc_3a30e01c.iff,0B,0x35B000,0xFBF42,1,Denmark Jersey Decal (Home or Away),0x3A30E01C
uniforms,Creation Zone Logo,disc_3a9d29c5.iff,0A,0x69F22800,0xAB2B0,1,"Custom Jersey Decal (recolorable, no logo)",0x3A9D29C5
chi,Team-Select Jersey Decal,disc_3b0a75ec.iff,0A,0x68054000,0x109415,1,Chicago Jersey Decal (Home or Away),0x3B0A75EC
uniforms,Team-Select Jersey Decal,disc_3b37236a.iff,0A,0x66B05000,0xB947D,1,Canada Jersey Decal (Home or Away),0x3B37236A
custom,uniform_customizable,disc_3b9a252d.iff,0B,0x41B4800,0x10389A,1,Customizable-team jersey template (RGB tint),0x3B9A252D
uniforms,uniform,disc_3cefe36c.iff,0A,0x6503E000,0x8E6BA,1,Team-Select Jersey Decals - unidentified (browse preview to identify team),0x3CEFE36C
col,Team-Select Jersey Decal,disc_3d4b7409.iff,0B,0x553000,0xBCBB1,1,Eastern All-Stars Jersey Decal,0x3D4B7409
uniforms,Creation Zone Logo,disc_3e3ebbc9.iff,0A,0x6A11C000,0xA2599,1,"Custom Jersey Decal (recolorable, no logo)",0x3E3EBBC9
col,uniform,disc_3e8db993.iff,0A,0x68855000,0xC179D,1,Team-Select Jersey Decals - COL_ALT,0x3E8DB993
uniforms,uniform,disc_3eb19f45.iff,0B,0x7A1E000,0x8CC63,1,Team-Select Jersey Decals - unidentified (browse preview to identify team),0x3EB19F45
uniforms,uniform_components,disc_3ebec4a1.iff,0A,0x6248D800,0x1FBA0A,1,Uniform component - 2048x512 DXN,0x3EBEC4A1
uniforms,uniform,disc_3edbec13.iff,0A,0x663A0800,0x8FD74,1,Team-Select Jersey Decals - unidentified (browse preview to identify team),0x3EDBEC13
pho,Creation Zone Logo,disc_4080b04f.iff,0B,0x10907800,0x216042,1,Phoenix Coyotes - Creation Logo,0x4080B04F
phi,Team-Select Jersey Decal,disc_408c4ae0.iff,0B,0x4596800,0xD2E87,1,Philadelphia Jersey Decal (Home or Away),0x408C4AE0
uniforms,uniform,disc_413108b4.iff,0B,0x2863000,0x8FD74,1,Team-Select Jersey Decals - unidentified (browse preview to identify team),0x413108B4
wsh,Creation Zone Logo,disc_4222db4b.iff,0B,0x18569000,0x1C7942,1,Washington Capitals - Creation Logo,0x4222DB4B
uniforms,Creation Zone Logo,disc_425f9e12.iff,0A,0x6A262800,0xA3BEB,1,"Custom Jersey Decal (recolorable, no logo)",0x425F9E12
pit,Team-Select Jersey Decal,disc_426249a7.iff,0B,0x5763000,0x104963,1,Pittsburgh Winter Classic Jersey Decal,0x426249A7
uniforms,Creation Zone Logo,disc_42b416e7.iff,0B,0x3086800,0xF8CDF,1,Nashville Predators #2 - Creation Logo,0x42B416E7
