base,file_off,w,h,fmt,mip0,foot
21386208,66400256,512,256,DXT4_5,131072,212992
21386432,66613248,512,512,DXT4_5,262144,393216
21386752,57622528,512,512,DXN,262144,393216
21387008,56770560,256,256,DXT1,32768,65536
21387264,57229312,512,512,DXN,262144,393216
21387520,56901632,256,256,DXT1,32768,65536
21387776,56836096,256,256,DXT1,32768,65536
21388000,65536,128,128,DXT4_5,16384,16384
21388224,131072,128,128,DXT4_5,16384,16384
21388448,49152,128,128,DXT4_5,16384,16384
21388672,81920,128,128,DXT4_5,16384,16384
21388896,147456,128,128,DXT4_5,16384,16384
21389120,32768,128,128,DXT4_5,16384,16384
21389344,212992,128,128,DXT4_5,16384,16384
21389568,229376,128,128,DXT4_5,16384,16384
21389792,245760,256,256,DXT4_5,65536,65536
21390016,311296,64,64,8,4096,4096
21390240,315392,256,128,DXT5A,16384,16384
21390464,331776,256,128,DXT4_5,32768,32768
21390688,364544,256,256,DXT4_5,65536,65536
21390912,430080,64,64,565,8192,8192
21391136,163840,128,128,DXT4_5,16384,16384
21391360,180224,128,128,DXT4_5,16384,16384
21391584,196608,128,128,DXT4_5,16384,16384
21391808,16384,128,128,DXT4_5,16384,16384
21406032,98304,128,128,DXT4_5,16384,16384
21406256,114688,128,128,DXT4_5,16384,16384
21471776,1126400,256,256,DXT4_5,65536,131072
21472000,1257472,256,256,DXT4_5,65536,131072
21472224,1388544,64,64,8888,16384,16384
21472448,1404928,256,256,DXT4_5,65536,131072
21472672,1536000,512,512,DXT1,131072,131072
21472896,1667072,512,512,DXT1,131072,131072
21473120,1798144,512,512,DXT1,131072,131072
21473792,1961984,32,32,8888,4096,4096
21474016,1966080,32,32,8888,4096,4096
21474240,1970176,32,32,8888,4096,4096
21474464,1974272,32,32,8888,4096,4096
21474688,1978368,32,32,8888,4096,4096
21474912,1982464,32,32,8888,4096,4096
21475136,1986560,32,32,8888,4096,4096
21475360,1990656,32,32,8888,4096,4096
21475584,1994752,32,32,8888,4096,4096
21892816,733184,256,256,DXT4_5,65536,131072
21930000,438272,256,256,DXT4_5,65536,65536
21930224,503808,128,128,8888,65536,65536
21930672,602112,256,256,DXT4_5,65536,131072
22091808,864256,256,256,DXT4_5,65536,131072
22092032,995328,256,256,DXT4_5,65536,131072
22500320,0,128,128,DXT4_5,16384,16384
